08/04/2024 01:03:36 PM : root         : INFO     :  ******** Portal_Login_Page (Order - 1) Begin ********
08/04/2024 01:03:36 PM : root         : INFO     : ********** TC_Portal_Login_23 started ********
08/04/2024 01:03:36 PM : root         : INFO     : verify_user_login_with_valid_user_name_and_incorrect_password_verify_message_warning
08/04/2024 01:03:42 PM : root         : INFO     : element length: 1
08/04/2024 01:03:42 PM : root         : INFO     : verifying with valid username and invalid password
08/04/2024 01:03:43 PM : root         : INFO     : Entered username as: core
08/04/2024 01:03:43 PM : root         : INFO     : element length: 1
08/04/2024 01:03:43 PM : root         : INFO     : Entered password as: abcd
08/04/2024 01:03:43 PM : root         : INFO     : element length: 1
08/04/2024 01:03:44 PM : root         : INFO     : element length: 1
08/04/2024 01:03:44 PM : root         : INFO     : actual invalid password error: ×
Invalid password
08/04/2024 01:03:44 PM : root         : INFO     : expected error: Invalid password
08/04/2024 01:03:44 PM : root         : INFO     : element length: 1
08/04/2024 01:03:44 PM : root         : INFO     : verifying with invalid username and valid password
08/04/2024 01:03:44 PM : root         : INFO     : Entered username as: gold
08/04/2024 01:03:44 PM : root         : INFO     : element length: 1
08/04/2024 01:03:45 PM : root         : INFO     : Entered password as: Right_1r1s
08/04/2024 01:03:45 PM : root         : INFO     : element length: 1
08/04/2024 01:03:46 PM : root         : INFO     : element length: 1
08/04/2024 01:03:46 PM : root         : INFO     : actual invalid username error: ×
Invalid username 'gold'
08/04/2024 01:03:46 PM : root         : INFO     : expected error: Invalid username 'gold'
08/04/2024 01:03:46 PM : root         : INFO     : element length: 1
08/04/2024 01:03:46 PM : root         : INFO     : verifying with invalid username and invalid password
08/04/2024 01:03:47 PM : root         : INFO     : Entered username as: gold
08/04/2024 01:03:47 PM : root         : INFO     : element length: 1
08/04/2024 01:03:47 PM : root         : INFO     : Entered password as: abcd
08/04/2024 01:03:47 PM : root         : INFO     : element length: 1
08/04/2024 01:03:48 PM : root         : INFO     : element length: 1
08/04/2024 01:03:48 PM : root         : INFO     : actual invalid username error: ×
Invalid username 'gold'
08/04/2024 01:03:48 PM : root         : INFO     : expected error: Invalid username 'gold'
08/04/2024 01:03:48 PM : root         : INFO     : element length: 1
08/04/2024 01:03:48 PM : root         : INFO     : status: [True, True, True]
